"Date 	series 	OPEN 	HIGH 	LOW 	PREV. CLOSE 	ltp 	CLOSE	vwap 	52W H 	52W L 	VOLUME 	VALUE 	No of trades ",,,
"28-Oct-20	EQ	411.45	418.2	400.45	411	401.8	402.3	409.63	506	250.85	16965755	""6",949,604,"948.10""	162673"
"27-Oct-20	EQ	408.7	416.85	403.4	408.4	410.05	411	411.53	506	250.85	16062171	""6",610,131,"340.50""	157903"
"26-Oct-20	EQ	423.35	423.35	404.15	423.45	407.7	408.4	411.42	506	250.85	16608780	""6",833,121,"273.95""	142661"
"23-Oct-20	EQ	413	426	412.2	409.65	423.05	423.45	420.48	506	250.85	28588850	""12",20,971,"391.80""	226121"
"22-Oct-20	EQ	401.9	413.55	400.1	404.05	411.7	409.65	407.63	506	250.85	20888422	""8",514,814,"448.85""	170558"
"21-Oct-20	EQ	396.3	408	394.35	392.4	403.7	404.05	402.36	506	250.85	26351958	""10",602,868,"352.70""	220168"
"20-Oct-20	EQ	392	397.35	389.6	395.5	391.9	392.4	392.92	506	250.85	10949682	""4",302,317,"084.25""	153428"
"19-Oct-20	EQ	397.6	400	391.8	393.85	395.55	395.5	396.03	506	250.85	14729994	""5",833,572,"799.60""	131575"
"16-Oct-20	EQ	377.1	395.9	375.2	373.9	393.8	393.85	387.04	506	250.85	28855527	""11",168,334,"051.60""	271674"
"15-Oct-20	EQ	381	388.6	371.5	375.55	372.6	373.9	381.38	506	250.85	31651023	""12",71,43,"573.35""	294260"
"14-Oct-20	EQ	370.4	377.25	369.55	368.35	375.95	375.55	372.56	506	250.85	14892188	""5",548,163,"172.55""	111570"
"13-Oct-20	EQ	372	376.25	366.65	371.1	367.45	368.35	371.19	506	250.85	11902564	""4",418,168,"481.20""	93381"
"12-Oct-20	EQ	373.5	377.15	362.5	369.5	370.5	371.1	368.73	506	250.85	15756861	""5",810,87,"663.00""	105362"
"9-Oct-20	EQ	376.05	386.95	367.05	373.65	371.35	369.5	378.09	506	250.85	22006588	""8",320,493,"766.20""	168875"
"8-Oct-20	EQ	374.45	383	371.7	371.1	373.9	373.65	377.61	506	250.85	14111169	""5",328,566,"375.00""	114821"
"7-Oct-20	EQ	376	379.3	370	377.4	370.45	371.1	373.54	506	250.85	9694124	""3",621,105,"229.05""	83798"
"6-Oct-20	EQ	386.8	387.25	373.1	382.3	377.8	377.4	378.63	506	250.85	14286376	""5",409,262,"832.75""	118589"
"5-Oct-20	EQ	370.1	385.5	369.5	364.95	382.95	382.3	380.75	506	250.85	19590635	""7",459,114,"268.60""	192923"
"1-Oct-20	EQ	364.3	370.3	363.15	359.75	364.9	364.95	366.82	506	250.85	9555123	""3",504,988,"684.65""	96966"
"30-Sep-20	EQ	371.05	371.5	358	370.05	358.7	359.75	363.06	506	250.85	12963784	""4",706,611,"719.60""	103277"
"29-Sep-20	EQ	365	371.8	361.7	361	369.5	370.05	367.01	506	250.85	17891719	""6",566,484,"009.10""	140938"
"28-Sep-20	EQ	359.95	364.95	355.65	352.1	361.25	361	360.36	506	250.85	12270478	""4",421,797,"957.70""	127299"
"25-Sep-20	EQ	348	355.6	344.2	343.9	350.75	352.1	350.58	506	250.85	12242576	""4",292,27,"166.20""	101968"
"24-Sep-20	EQ	356.8	357.25	342.75	361.3	344	343.9	348.86	506	250.85	12495840	""4",359,329,"729.70""	128666"
"23-Sep-20	EQ	377	378	356.45	374.15	361.15	361.3	362.9	506	250.85	16984600	""6",163,628,"027.60""	141359"
"22-Sep-20	EQ	374	378.5	358.2	373.4	374.5	374.15	369.68	506	250.85	22013027	""8",137,752,"374.45""	182809"
"21-Sep-20	EQ	396	399.2	371	395.5	371.55	373.4	384.69	506	250.85	14138761	""5",439,17,"318.25""	145719"
"18-Sep-20	EQ	402.1	405.65	393.4	398.7	396.6	395.5	399.44	506	250.85	16842244	""6",727,461,"108.35""	121300"
"17-Sep-20	EQ	401.95	407.5	393.2	404.6	400	398.7	398.77	506	250.85	14808022	""5",904,984,"176.40""	131100"
"16-Sep-20	EQ	406.45	410	402.7	405.25	404.3	404.6	405.89	506	250.85	9987412	""4",53,785,"909.50""	89850"
"15-Sep-20	EQ	407	410.55	403.55	404.65	405.35	405.25	406.81	506	250.85	9132749	""3",715,307,"789.80""	86138"
"14-Sep-20	EQ	410	414.1	402.15	407.5	402.95	404.65	407.98	506	250.85	12331121	""5",30,802,"282.35""	144469"
"11-Sep-20	EQ	408.75	412.65	402.5	408	406.25	407.5	407.09	506	250.85	13687127	""5",571,840,"267.25""	139514"
"10-Sep-20	EQ	424	425.9	401.1	417.4	407.95	408	411.82	506	250.85	22920783	""9",439,278,"033.35""	189921"
"9-Sep-20	EQ	398.8	420.15	386.5	405.1	419.55	417.4	405.44	506	250.85	31999875	""12",974,163,"761.50""	238419"
"8-Sep-20	EQ	425.75	425.75	402.6	422.5	404	405.1	414.31	506	250.85	11637370	""4",821,525,"228.95""	123082"
"7-Sep-20	EQ	423.7	428.4	418.45	421.3	421.5	422.5	423.05	506	250.85	9628406	""4",73,304,"677.05""	80818"
"4-Sep-20	EQ	428.1	433.95	419	438.1	421.9	421.3	428.07	506	250.85	10530674	""4",507,857,"768.50""	102510"
"3-Sep-20	EQ	442.5	443.65	435.9	438.65	438.15	438.1	439.11	506	250.85	10214289	""4",485,216,"473.25""	101286"
"2-Sep-20	EQ	430.05	441.7	427.1	428.65	439.9	438.65	433.48	506	250.85	11739341	""5",88,795,"789.75""	104223"
"1-Sep-20	EQ	413.9	432.7	411.95	413	432.65	428.65	421.79	506	250.85	14072848	""5",935,761,"477.10""	107764"
"31-Aug-20	EQ	426.5	430.15	410	424.2	411	413	419.91	506	250.85	15746139	""6",612,0,"623.50""	123587"
"28-Aug-20	EQ	429.65	438	423.05	426.85	423.9	424.2	430.42	506	250.85	15212017	""6",547,488,"887.00""	139003"
"27-Aug-20	EQ	425.5	430.2	423	425	427.5	426.85	425.97	506	250.85	9549716	""4",67,892,"911.10""	93181"
"26-Aug-20	EQ	425	427.75	422.2	424	425.5	425	424.84	506	250.85	7957164	""3",380,481,"990.05""	68604"
"25-Aug-20	EQ	432	432.65	421.45	429.5	423.95	424	425.67	506	250.85	10554484	""4",492,716,"617.80""	119137"
"24-Aug-20	EQ	433.6	437.75	428.1	428.85	429.55	429.5	431.93	506	250.85	9093889	""3",927,951,"174.60""	82038"
"21-Aug-20	EQ	435.75	442	426.55	432.6	428.3	428.85	435.72	506	250.85	13482327	""5",874,527,"926.45""	121943"
"20-Aug-20	EQ	425	438.3	423.05	431.7	432.2	432.6	432.43	506	250.85	15846609	""6",852,510,"971.10""	141367"
"19-Aug-20	EQ	434.5	435.55	428.85	434.5	433	431.7	431.61	506	250.85	11843731	""5",111,884,"629.95""	98176"
"18-Aug-20	EQ	421.65	436.8	419.7	425.05	432.5	434.5	429.05	506	250.85	17342261	""7",440,728,"990.95""	146163"
"17-Aug-20	EQ	418	429.15	414.25	418.5	424.5	425.05	423.65	506	250.85	18145953	""7",687,593,"644.90""	141923"
"14-Aug-20	EQ	410	430.95	409.1	413.1	417.9	418.5	420.41	506	250.85	47742372	""20",71,593,"283.55""	315846"
"13-Aug-20	EQ	418.2	421.7	408.85	414.5	414.5	413.1	413.82	506	250.85	12422203	""5",140,574,"042.65""	99676"
"12-Aug-20	EQ	413.7	417.35	407.55	416.45	415.1	414.5	412.88	506	250.85	11574692	""4",778,924,"976.30""	104644"
"11-Aug-20	EQ	413.1	427.6	412.5	410.2	417.5	416.45	421.21	506	250.85	25885192	""10",903,230,"075.60""	196871"
"10-Aug-20	EQ	405.75	411.55	399.6	404.05	409.8	410.2	406	506	250.85	12018305	""4",879,476,"229.60""	110503"
"7-Aug-20	EQ	395.9	406.7	393.1	400.45	403.05	404.05	402.46	506	250.85	15176343	""6",107,813,"365.35""	139632"
"6-Aug-20	EQ	389.75	402.8	385.5	395.8	400.5	400.45	393.82	506	250.85	22123358	""8",712,704,"876.55""	196968"
"5-Aug-20	EQ	373.05	397.9	373.05	372.25	397.2	395.8	388.36	506	250.85	30559760	""11",868,96,"905.00""	259897"
"4-Aug-20	EQ	374.5	378	367.65	373.5	372	372.25	371.72	506	250.85	11184430	""4",157,495,"585.00""	111097"
"3-Aug-20	EQ	364.75	376.85	362.05	366.3	371.95	373.5	371.8	506	250.85	11137571	""4",140,904,"825.70""	103111"
"31-Jul-20	EQ	365.6	370.4	360.4	366.6	368.1	366.3	365.48	506	250.85	9024955	""3",298,435,"294.60""	76352"
"30-Jul-20	EQ	377	377.8	364.1	373.75	366.5	366.6	369.83	506	250.85	10399075	""3",845,889,"062.05""	113496"
"29-Jul-20	EQ	359	378.45	356.15	358.5	372.85	373.75	371.28	506	250.85	30116131	""11",181,538,"255.90""	262703"
"28-Jul-20	EQ	353.6	360	352.75	352.85	357.9	358.5	356.76	506	250.85	10640327	""3",796,22,"209.05""	94982"
"27-Jul-20	EQ	351	353.9	344.25	346.1	352.45	352.85	350.47	506	250.85	11835628	""4",148,70,"334.15""	107594"
"24-Jul-20	EQ	347	349.8	342.55	351.9	346.5	346.1	345.93	506	250.85	8918940	""3",85,360,"337.80""	73901"
"23-Jul-20	EQ	350.1	356.4	347.65	350.05	351.75	351.9	351.99	506	250.85	9625277	""3",388,15,"870.15""	81763"
"22-Jul-20	EQ	360.5	362.9	346.6	359.15	350.2	350.05	356.04	506	250.85	17844237	""6",353,235,"528.45""	157442"
"21-Jul-20	EQ	356	360.6	349.5	352.4	359.7	359.15	354.43	506	250.85	11368275	""4",29,261,"812.75""	114527"
"20-Jul-20	EQ	351.1	354.7	346.6	350.95	352.4	352.4	350.49	506	250.85	9532817	""3",341,136,"548.65""	96655"
"17-Jul-20	EQ	346	356.8	345.15	341.65	350.85	350.95	353.03	506	250.85	24416975	""8",619,826,"518.35""	208229"
"16-Jul-20	EQ	338	346.5	331.55	339.3	340.65	341.65	338.37	506	250.85	10586106	""3",582,11,"512.40""	102372"
"15-Jul-20	EQ	340.65	346.5	338	336.65	338.45	339.3	343.02	506	250.85	9687663	""3",323,81,"321.15""	85616"
"14-Jul-20	EQ	339	339	332.6	342.1	336.05	336.65	335.89	506	250.85	8307089	""2",790,272,"023.65""	78148"
"13-Jul-20	EQ	343.3	347	338.5	338.7	342.6	342.1	342.6	506	250.85	12115002	""4",150,555,"312.30""	115689"
"10-Jul-20	EQ	341.95	344.3	335.2	344.5	338.6	338.7	338.98	506	250.85	12526909	""4",246,370,"351.40""	110110"
"9-Jul-20	EQ	337	348.5	336.5	334.2	345	344.5	345.21	506	250.85	24403806	""8",424,483,"686.65""	230676"
"8-Jul-20	EQ	332.8	346.4	332	330.3	333.9	334.2	339.79	506	250.85	21561168	""7",326,287,"444.85""	175976"
"7-Jul-20	EQ	338.8	338.85	328.05	338.9	331	330.3	332.21	506	250.85	10839521	""3",600,974,"427.85""	139113"
"6-Jul-20	EQ	333.15	341.7	330.3	329.9	338.85	338.9	337.87	506	250.85	14144208	""4",778,841,"166.30""	135444"
"3-Jul-20	EQ	337	337	327.35	334.9	329	329.9	332.1	514.85	250.85	10612730	""3",524,440,"290.95""	90027"
"2-Jul-20	EQ	327.05	337.5	324.55	323.7	334.15	334.9	330.8	514.85	250.85	11971928	""3",960,272,"227.95""	112477"
"1-Jul-20	EQ	329	329.6	320.3	326.7	324.1	323.7	323.39	514.85	250.85	10489533	""3",392,236,"695.35""	96601"
"30-Jun-20	EQ	323.1	337.65	323.1	320.85	327.25	326.7	331.71	514.85	250.85	36523647	""12",115,276,"397.40""	274900"
"29-Jun-20	EQ	323	326	312.1	323.85	319.75	320.85	317.6	514.85	250.85	11961198	""3",798,868,"322.80""	103154"
"26-Jun-20	EQ	325.8	329.95	322.55	323.1	324.65	323.85	326.75	516.45	250.85	9706335	""3",171,559,"658.90""	85340"
"25-Jun-20	EQ	322	327.4	321	326.05	322.55	323.1	324.48	516.45	250.85	11345728	""3",681,441,"250.55""	107613"
"24-Jun-20	EQ	336.6	338.15	324.75	332	325.85	326.05	332.27	516.45	250.85	20782956	""6",905,589,"579.45""	163710"
"23-Jun-20	EQ	327.7	333.5	326.15	325.7	330	332	330.59	516.45	250.85	12551154	""4",149,267,"135.45""	106270"
"22-Jun-20	EQ	319.75	328	318.35	320.55	327.7	325.7	322.81	516.45	250.85	11031385	""3",560,988,"131.35""	97621"
"19-Jun-20	EQ	321	325.85	317.3	318.1	320.25	320.55	321.65	516.45	250.85	15134693	""4",868,43,"356.90""	130654"
"18-Jun-20	EQ	308.2	319.2	307.1	308.2	319	318.1	314.78	516.45	250.85	11369278	""3",578,852,"511.90""	116074"
"17-Jun-20	EQ	307.2	314.8	305.05	308.95	308	308.2	310.6	516.45	250.85	11447411	""3",555,621,"704.35""	94469"
"16-Jun-20	EQ	315.1	322.55	301.3	306.2	308.05	308.95	313.06	516.45	250.85	23442027	""7",338,779,"481.25""	195544"
"15-Jun-20	EQ	313.75	315	302.6	317.6	306.2	306.2	306.8	516.45	250.85	18582927	""5",701,281,"538.95""	157596"
"12-Jun-20	EQ	300	320.45	300	313.15	319.6	317.6	308.07	516.45	250.85	17558010	""5",409,58,"690.90""	140583"
"11-Jun-20	EQ	322	323.5	311	324	314.05	313.15	318.2	516.45	250.85	13906985	""4",425,184,"371.35""	176936"
"10-Jun-20	EQ	331.1	331.5	322	332.2	324.8	324	325.32	516.45	250.85	17218893	""5",601,593,"198.55""	175572"
"9-Jun-20	EQ	336	344	328.85	333.6	330	332.2	337.22	516.45	250.85	14926862	""5",33,688,"024.75""	172156"
"8-Jun-20	EQ	347.7	350.8	327.35	338.95	334.5	333.6	338.85	516.45	250.85	16481809	""5",584,840,"098.30""	156820"
"5-Jun-20	EQ	325.8	343.65	325.05	319.95	339.7	338.95	337.14	516.45	250.85	30918495	""10",423,983,"284.05""	262033"
"4-Jun-20	EQ	316.9	322.6	314.6	317.4	319.95	319.95	319.18	516.45	250.85	11251331	""3",591,222,"083.45""	106014"
"3-Jun-20	EQ	325.45	326.3	315.05	319.4	317.2	317.4	321.66	516.45	250.85	10387136	""3",341,109,"720.90""	107042"
"2-Jun-20	EQ	318	323.45	314.55	315.2	318.7	319.4	319.08	516.45	250.85	16563267	""5",284,947,"430.20""	147289"
"1-Jun-20	EQ	302	317.8	302	295.2	315.1	315.2	313.98	516.45	250.85	24384633	""7",656,243,"893.60""	222950"
"29-May-20	EQ	292.1	296.9	287.85	295.5	294.05	295.2	292.09	518.6	250.85	13128027	""3",834,529,"453.70""	117534"
"28-May-20	EQ	291.9	298.6	289.4	287.95	293.9	295.5	293.9	518.6	250.85	16602462	""4",879,513,"936.05""	153571"
"27-May-20	EQ	282.2	290.4	279.05	280.45	289	287.95	283.2	518.6	250.85	14007562	""3",966,957,"647.45""	133263"
"26-May-20	EQ	277.5	284.4	277	274.45	281.15	280.45	281.72	518.6	250.85	12108740	""3",411,278,"653.25""	119897"
"22-May-20	EQ	279	280.25	273.3	283.7	275	274.45	276.22	518.6	250.85	10656911	""2",943,598,"776.45""	104788"
"21-May-20	EQ	283.9	286.25	278.5	283.2	283.55	283.7	282.78	518.6	250.85	13035881	""3",686,249,"554.70""	119568"
"20-May-20	EQ	272	284	270.1	272	283.8	283.2	279.95	518.6	250.85	14423657	""4",37,917,"086.25""	135400"
"19-May-20	EQ	271.95	280.4	267.5	266.6	272.1	272	275.1	518.6	250.85	16897173	""4",648,458,"657.85""	160617"
"18-May-20	EQ	274.1	276.2	262.45	273.45	267	266.6	267.1	518.6	250.85	11616080	""3",102,609,"332.35""	126742"
"15-May-20	EQ	270	276.8	268.8	268.55	273.15	273.45	273.69	518.6	250.85	14991458	""4",102,996,"468.50""	140643"
"14-May-20	EQ	272	275.2	267.3	276.55	268.75	268.55	270.4	518.6	250.85	10796959	""2",919,511,"068.35""	125086"
"13-May-20	EQ	287.5	288	273.5	273.95	278	276.55	280.93	518.6	250.85	14723748	""4",136,288,"213.50""	144455"
"12-May-20	EQ	273.3	276.8	264.5	276.2	275.25	273.95	269.35	518.6	250.85	15040334	""4",51,62,"305.45""	154012"
"11-May-20	EQ	275.55	283	275	272.9	276.65	276.2	279.07	518.6	250.85	10907408	""3",43,983,"356.80""	129049"
"8-May-20	EQ	282.8	284	272	275.85	272.9	272.9	277.06	544.95	250.85	9878213	""2",736,816,"388.30""	108729"
"7-May-20	EQ	275.45	282.85	274.65	277.75	276.15	275.85	278.44	544.95	250.85	8958411	""2",494,364,"184.90""	103931"
"6-May-20	EQ	274.1	280.45	272.05	272.65	278.3	277.75	276.95	544.95	250.85	9507731	""2",633,168,"094.60""	95963"
"5-May-20	EQ	279	282.4	271	273.6	274	272.65	276.85	544.95	250.85	12182355	""3",372,723,"173.35""	120197"
"4-May-20	EQ	285	286.15	270.1	298.3	272.7	273.6	273.71	544.95	250.85	12892158	""3",528,725,"886.70""	167867"
"30-Apr-20	EQ	289.95	304.5	288.7	282.65	297.55	298.3	297.28	561.65	250.85	23636082	""7",26,587,"166.55""	239510"
"29-Apr-20	EQ	273	286.15	271.25	273.55	282.45	282.65	281.77	561.65	250.85	19876696	""5",600,679,"856.25""	215401"
"28-Apr-20	EQ	273.9	275.4	269.55	271.65	273.7	273.55	272.5	561.65	250.85	8548134	""2",329,381,"054.00""	77655"
"27-Apr-20	EQ	274	276.9	270.5	267.55	271.95	271.65	273.4	561.65	250.85	12410812	""3",393,162,"809.40""	154370"
"24-Apr-20	EQ	266.3	273.85	264.45	270.3	268.75	267.55	269.75	561.65	250.85	12383846	""3",340,556,"827.25""	120833"
"23-Apr-20	EQ	270	279	269	268.35	270.35	270.3	274.31	561.65	250.85	15468122	""4",243,125,"772.40""	182297"
"22-Apr-20	EQ	266.1	269.9	259.2	265.95	269	268.35	265.46	561.65	250.85	14789857	""3",926,75,"621.85""	158776"
"21-Apr-20	EQ	280.05	281	263.25	286.4	266.1	265.95	266.6	561.65	250.85	16925417	""4",512,317,"904.45""	286180"
"20-Apr-20	EQ	294.8	295	285.1	293.35	286.5	286.4	289.28	561.65	250.85	11961355	""3",460,143,"136.05""	129180"
"17-Apr-20	EQ	297.5	299.7	285.5	288.9	292.3	293.35	291.36	561.65	250.85	17492884	""5",96,770,"272.80""	156395"
"16-Apr-20	EQ	276	291.9	276	285.15	290.55	288.9	285.74	561.65	250.85	17248806	""4",928,719,"772.10""	159950"
"15-Apr-20	EQ	287.4	295.65	281.9	282.55	286	285.15	289.28	561.65	250.85	20991943	""6",72,528,"289.45""	216185"
"13-Apr-20	EQ	285	292	273.85	284.85	282.4	282.55	281.08	561.65	250.85	15510598	""4",359,767,"281.25""	169856"
"9-Apr-20	EQ	280.5	289.6	277.65	274.75	284	284.85	283.63	561.65	250.85	13855788	""3",929,956,"073.90""	150361"
"8-Apr-20	EQ	271	292.9	266.65	276.2	273.3	274.75	281.88	561.65	250.85	20435156	""5",760,222,"351.50""	215435"
"7-Apr-20	EQ	266.05	277.7	261.2	253.75	275.5	276.2	270.13	561.65	250.85	15956873	""4",310,467,"411.60""	166420"
"3-Apr-20	EQ	267.7	268.9	251	266.35	254.35	253.75	255.68	561.65	250.85	12528030	""3",203,160,"554.55""	174595"
"1-Apr-20	EQ	266	267.95	258.1	269.6	266.65	266.35	262.61	561.65	250.85	11965031	""3",142,149,"954.15""	142931"
"31-Mar-20	EQ	262.25	272.45	259.7	254.05	270	269.6	266.48	561.65	250.85	15787411	""4",207,57,"234.20""	185680"
"30-Mar-20	EQ	267	270.75	250.85	277.25	255	254.05	260	561.65	250.85	15853761	""4",122,28,"384.35""	218642"
"27-Mar-20	EQ	291	295.25	274.2	284.45	276	277.25	282.47	561.65	253.55	11184139	""3",159,161,"558.70""	123864"
"26-Mar-20	EQ	290	295.5	280.1	286.8	281.05	284.45	288.53	561.65	253.55	11493837	""3",316,356,"966.80""	139566"
"25-Mar-20	EQ	267.05	295	267.05	271.9	288.95	286.8	280.08	561.65	253.55	9442834	""2",644,775,"539.45""	140205"
"24-Mar-20	EQ	277.05	285.65	258.6	271.15	271.9	271.9	270.13	561.65	253.55	12928877	""3",492,518,"886.05""	160998"
"23-Mar-20	EQ	268	278	253.55	297.75	272.05	271.15	264.63	561.65	253.55	12100684	""3",202,196,"946.30""	149907"
"20-Mar-20	EQ	279.7	305	274.15	271.85	296	297.75	287.26	561.65	255.35	17307882	""4",971,827,"314.15""	176547"
"19-Mar-20	EQ	268.95	284.5	260.5	280.85	272	271.85	274.42	561.65	255.35	18723257	""5",138,57,"805.80""	198240"
"18-Mar-20	EQ	290	293.15	275.7	282.75	282	280.85	281.66	561.65	255.35	18772675	""5",287,435,"067.70""	193555"
"17-Mar-20	EQ	300	307.65	280.5	289.6	282	282.75	294.47	561.65	255.35	20654603	""6",82,202,"960.20""	241973"
"16-Mar-20	EQ	304	317.65	287.1	326.7	291.75	289.6	302.1	561.65	255.35	23606452	""7",131,488,"009.80""	291120"
"13-Mar-20	EQ	270	332.1	255.35	287.45	329.2	326.7	301.74	561.65	255.35	33842310	""10",211,421,"110.45""	270225"
"12-Mar-20	EQ	275	291.8	267.2	299.75	291.45	287.45	281.42	561.65	267.2	43767763	""12",317,269,"147.15""	314421"
"11-Mar-20	EQ	324	326.05	296.1	322.3	297.3	299.75	308.09	561.65	296.1	28693709	""8",840,328,"886.70""	251678"
"9-Mar-20	EQ	337.5	337.7	319.75	351.5	323	322.3	327.36	561.65	319.75	20423826	""6",685,868,"769.30""	205411"
"6-Mar-20	EQ	356.95	358.3	346.65	375.75	351.55	351.5	352.64	561.65	320.35	14848188	""5",235,996,"665.00""	131450"
