Date,Open,High,Low,CLOSE,Adj Close,Volume
2/21/2018,372.5,372.5,362.850006,364.450012,364.450012,8640166
2/22/2018,363,363,357.5,358.5,358.5,10870704
2/23/2018,360.100006,364.600006,358.75,360.200012,360.200012,6751064
2/26/2018,362,373.5,362,372.049988,372.049988,10576794
2/27/2018,375,376.600006,370.350006,372.549988,372.549988,6156672
2/28/2018,370,373.649994,367.149994,369.899994,369.899994,8009429
3/1/2018,369.75,376.299988,369.049988,370.75,370.75,6991806
3/5/2018,368.75,368.75,350.100006,352.049988,352.049988,14665325
3/6/2018,355.149994,357.950012,345,346.5,346.5,8876632
3/7/2018,345,355.299988,343.25,347.799988,347.799988,15599393
3/8/2018,350.799988,351.899994,341.049988,345.149994,345.149994,7674221
3/9/2018,345.549988,348.700012,340.149994,341.5,341.5,5519224
3/12/2018,345,353.799988,340.350006,352.600006,352.600006,8238960
3/13/2018,352.600006,356.450012,350,353.149994,353.149994,6184241
3/14/2018,351,354.899994,349.600006,354.049988,354.049988,3820313
3/15/2018,354.049988,358.399994,351.100006,353.100006,353.100006,4331145
3/16/2018,352.049988,352.600006,338.399994,339.75,339.75,14205582
3/19/2018,341.200012,342.100006,332.549988,335.700012,335.700012,9391347
3/20/2018,335.5,340.399994,333.549988,338.799988,338.799988,5080453
3/21/2018,339.899994,342.25,332.25,333.850006,333.850006,6812442
3/22/2018,338.5,340.25,334.799988,338.200012,338.200012,9255091
3/23/2018,330,334.799988,329.600006,330.850006,330.850006,8578297
3/26/2018,328.799988,333.899994,324.299988,332.350006,332.350006,8907023
3/27/2018,333.950012,335.799988,330.100006,331.149994,331.149994,6822448
3/28/2018,331.5,333.649994,325.200012,326.850006,326.850006,10975624
4/2/2018,335,340.799988,332.700012,339.149994,339.149994,9874486
4/3/2018,338.399994,344.5,337.149994,343.100006,343.100006,6989584
4/4/2018,346.799988,363.700012,346.25,355.600006,355.600006,27157199
4/5/2018,362.600006,372.350006,359.799988,362.200012,362.200012,28886070
4/6/2018,362,368.350006,356.450012,364.100006,364.100006,13297051
4/9/2018,361.899994,368.600006,357,358.299988,358.299988,9555113
4/10/2018,360.5,362.350006,351.5,353.25,353.25,8201215
4/11/2018,355,357.149994,350.5,355.799988,355.799988,5622957
4/12/2018,358,364.399994,357,358.399994,358.399994,13145938
4/13/2018,357.899994,361,354.399994,357.049988,357.049988,5935628
4/16/2018,350.799988,352.799988,337.549988,339.149994,339.149994,19157051
4/17/2018,342.299988,344.200012,332.600006,336.450012,336.450012,14241074
4/18/2018,338.200012,339.75,333.399994,334.799988,334.799988,6699271
4/19/2018,336.5,337,332.5,334.25,334.25,7087115
4/20/2018,335.950012,343.25,334.600006,336,336,11908652
4/23/2018,335.950012,339.5,333,334.049988,334.049988,8056732
4/24/2018,334.799988,335,330.600006,331.549988,331.549988,9210931
4/25/2018,330.799988,334,327.75,328.600006,328.600006,6306039
4/26/2018,329.899994,335.950012,326,330.25,330.25,16647689
4/27/2018,333,337.649994,331.049988,336.899994,336.899994,8804236
4/30/2018,338.5,342.75,337.25,340.399994,340.399994,5937740
5/2/2018,349.200012,351.649994,335,336.049988,336.049988,16022148
5/3/2018,335.5,335.899994,329.149994,333.5,333.5,6870513
5/4/2018,333.75,337.299988,329.5,334.399994,334.399994,6660062
5/7/2018,337.850006,337.850006,333.700012,335.149994,335.149994,3888627
5/8/2018,336.299988,336.600006,330.25,332.149994,332.149994,8114997
5/9/2018,331,347.25,331,341.950012,341.950012,19019847
5/10/2018,343.75,343.75,332.75,333.600006,333.600006,11158000
5/11/2018,334,334,330,330.799988,330.799988,7365579
5/14/2018,333,333,323,323.600006,323.600006,8312976
5/15/2018,324,324.049988,305.700012,310.100006,310.100006,15323964
5/16/2018,309.950012,315.75,306.700012,310.25,310.25,12051269
5/17/2018,313.100006,319.5,309.299988,314.899994,314.899994,10214660
5/18/2018,314.75,315,303.5,304.600006,304.600006,11688577
5/21/2018,304.75,307.200012,294.700012,295.899994,295.899994,11549490
5/22/2018,296.549988,312.5,296.549988,307.700012,307.700012,17199292
5/23/2018,311.100006,317.25,305.399994,309.450012,309.450012,17698475
5/24/2018,300,307.649994,284.100006,288.649994,288.649994,46104103
5/25/2018,290.399994,297.450012,286.25,294.149994,294.149994,19240172
5/28/2018,293.75,299.899994,290.299988,296.299988,296.299988,8516862
5/29/2018,296.799988,300,293,294.649994,294.649994,9816561
5/30/2018,289.950012,292.25,286.149994,288.899994,288.899994,11649429
5/31/2018,289.950012,290.850006,281.600006,282.5,282.5,28771987
6/1/2018,284.5,290.350006,283.049988,287.200012,287.200012,15840810
6/4/2018,292.5,293.850006,286,286.649994,286.649994,10835487
6/5/2018,286.649994,288.25,283.600006,284.950012,284.950012,7456195
6/6/2018,286.850006,296.899994,285.25,295.649994,295.649994,19754001
6/7/2018,296.299988,306.899994,295.25,305.399994,305.399994,22839023
6/8/2018,305.700012,315.549988,302.399994,309.950012,309.950012,27249374
6/11/2018,310.899994,313.899994,306.649994,309.75,309.75,14650133
6/12/2018,310.950012,313.649994,307.200012,307.799988,307.799988,7932388
6/13/2018,309.200012,311.25,307,308.399994,308.399994,7280886
6/14/2018,308.5,309.600006,303.799988,305.899994,305.899994,6532693
